                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      0,                    2.9,                 3.3457,                 2.6299,                   0.01,                   0.75,                0.16209,                0.05176,                 2.1434,                 3.3428,                 2.0705,                    0.1,                      0,                      0,             1.6894e+09,                     36
                      1,                 2.7519,                 3.2394,                 2.4554,                   0.01,                   0.75,                0.15615,                0.04446,                 2.1908,                 3.3525,                  2.084,                0.09901,             9.9997e-06,             9.9997e-06,             1.6894e+09,                     39
                      2,                 2.7715,                 3.2289,                 2.4872,                0.00933,                    0.7,                0.15994,                0.04389,                 2.2462,                 3.3627,                 2.1084,                0.09802,             1.9998e-05,             1.9998e-05,             1.6894e+09,                     42
                      3,                 3.1755,                 3.2209,                  2.703,                0.00933,                    0.7,                0.15332,                0.04113,                 2.3201,                 3.4071,                 2.1408,                0.09703,             2.9993e-05,             2.9993e-05,             1.6894e+09,                     44
                      4,                 3.0639,                 3.2275,                 2.6572,                0.00933,                    0.7,                0.11894,                0.03258,                 2.3818,                 3.4239,                 2.1625,                0.09604,             3.9982e-05,             3.9982e-05,             1.6894e+09,                     47
                      5,                 2.9286,                 3.1641,                 2.4712,                0.00933,                    0.7,                0.10723,                0.02964,                 2.4326,                 3.4374,                 2.1837,                0.09505,             4.9966e-05,             4.9966e-05,             1.6894e+09,                     49
                      6,                 2.9871,                 3.2769,                 2.5933,                0.01333,                      1,                0.75278,                0.36898,                 1.0429,                 2.9158,                 1.7083,                0.09406,             5.9941e-05,             5.9941e-05,             1.6894e+09,                     51
                      7,                 1.6088,                  2.589,                 1.5993,                0.01067,                    0.8,                 0.1998,                 0.0754,                 2.0301,                 2.6848,                  2.117,                0.09307,             6.9906e-05,             6.9906e-05,             1.6894e+09,                     54
                      8,                 1.2863,                 2.2363,                 1.3877,                  0.002,                   0.15,                0.00565,                0.00102,                 4.3788,                 3.0255,                 3.0833,                0.09208,              7.986e-05,              7.986e-05,             1.6894e+09,                     57
                      9,                0.90683,                  1.912,                 1.1336,                0.00067,                   0.05,                0.00219,                0.00022,                 4.7958,                 3.3788,                 3.5205,                0.09109,               8.98e-05,               8.98e-05,             1.6894e+09,                     59
                     10,                0.87459,                  1.614,                 1.2045,                  0.002,                   0.15,                0.00282,                0.00028,                 4.9514,                 3.8791,                 3.8123,                 0.0901,             9.9726e-05,             9.9726e-05,             1.6894e+09,                     61
                     11,                0.88517,                 1.3899,                 1.1879,                0.00068,                   0.05,                0.00246,                0.00025,                 4.8707,                 4.3147,                 3.7003,                0.08911,             0.00010964,             0.00010964,             1.6894e+09,                     63
                     12,                0.77039,                 1.2456,                 1.1056,                0.00321,                    0.2,                0.01518,                0.00187,                 4.6382,                  4.852,                 3.3802,                0.08812,             0.00011953,             0.00011953,             1.6894e+09,                     66
                     13,                0.95312,                 1.3807,                 1.1993,                0.00994,                   0.45,                0.04266,                0.02048,                  3.004,                 3.9741,                 2.7692,               0.087129,              0.0001294,              0.0001294,             1.6894e+09,                     68
                     14,                 0.9259,                 1.1592,                 1.1532,                0.02384,                    0.6,                0.14196,                0.07647,                 1.9277,                 3.0694,                 2.0715,               0.086139,             0.00013925,             0.00013925,             1.6894e+09,                     70
                     15,                0.88933,                 1.2702,                 1.1811,                0.05934,                   0.75,                0.35954,                0.16829,                 1.6032,                 2.5857,                 1.7628,               0.085149,             0.00014908,             0.00014908,             1.6894e+09,                     72
                     16,                0.91079,                 1.1647,                 1.1587,                0.12814,                    0.9,                0.56931,                0.30088,                 1.2209,                 2.3421,                 1.5457,               0.084159,             0.00015888,             0.00015888,             1.6894e+09,                     75
                     17,                0.77328,                0.94929,                 1.0645,                0.34653,                   0.65,                0.57953,                0.38401,                 1.1282,                 2.1029,                 1.5264,               0.083169,             0.00016866,             0.00016866,             1.6894e+09,                     77
                     18,                0.73216,                0.93312,                 1.0857,                0.51516,                   0.75,                0.65569,                0.49148,                 1.0334,                  1.979,                 1.4823,               0.082178,             0.00017841,             0.00017841,             1.6894e+09,                     80
                     19,                0.78197,                0.85049,                 1.0652,                0.31191,                   0.95,                0.82129,                0.62189,                 0.9405,                   1.91,                 1.4374,               0.081188,             0.00018813,             0.00018813,             1.6894e+09,                     83
                     20,                 0.7826,                0.82493,                 1.0811,                0.24893,                      1,                0.89067,                 0.7021,                0.89927,                 1.8512,                 1.4187,               0.080198,             0.00019781,             0.00019781,             1.6894e+09,                     86
                     21,                0.76737,                0.80636,                 1.0885,                0.25374,                      1,                0.93491,                0.75082,                0.86385,                 1.7858,                 1.4072,               0.079207,             0.00020747,             0.00020747,             1.6894e+09,                     89
                     22,                 0.7706,                0.79934,                  1.013,                0.60391,                   0.95,                0.95693,                0.75338,                0.87956,                 1.7266,                  1.408,               0.078217,             0.00021709,             0.00021709,             1.6894e+09,                     93
                     23,                 0.8914,                0.83078,                 1.1687,                0.77896,                   0.95,                0.97595,                  0.805,                  0.913,                 1.6505,                 1.3826,               0.077227,             0.00022668,             0.00022668,             1.6894e+09,                     96
                     24,                0.76051,                0.73689,                0.99443,                      1,                0.93716,                0.98346,                0.80509,                0.94482,                  1.607,                 1.3894,               0.076236,             0.00023623,             0.00023623,             1.6894e+09,                     98
                     25,                0.79069,                0.74497,                 1.0493,                      1,                0.92505,                0.99262,                0.81941,                 0.9515,                  1.588,                 1.3812,               0.075246,             0.00024574,             0.00024574,             1.6894e+09,                    100
                     26,                0.87057,                0.77806,                  1.155,                      1,                0.90803,                0.99262,                0.80425,                 0.9516,                 1.6215,                 1.3735,               0.074255,             0.00025521,             0.00025521,             1.6894e+09,                    103
                     27,                0.78166,                0.68141,                 1.0487,                      1,                0.96289,                  0.995,                0.79731,                0.93266,                 1.5942,                 1.3313,               0.073265,             0.00026464,             0.00026464,             1.6894e+09,                    104
                     28,                0.88705,                0.69211,                 1.0422,                      1,                0.98943,                  0.995,                0.82576,                0.91252,                 1.5426,                 1.3046,               0.072274,             0.00027403,             0.00027403,             1.6894e+09,                    106
                     29,                0.70405,                0.64747,                  1.004,                0.94718,                      1,                0.99262,                0.78623,                0.89954,                 1.4921,                 1.2703,               0.071283,             0.00028337,             0.00028337,             1.6894e+09,                    108
                     30,                0.75188,                0.70399,                  1.158,                0.86577,                      1,                0.99024,                0.78503,                0.90478,                  1.437,                  1.261,               0.070293,             0.00029266,             0.00029266,             1.6894e+09,                    110
                     31,                0.69894,                0.62768,                 1.0854,                0.86908,                      1,                  0.995,                0.79138,                0.91973,                 1.3665,                 1.2588,               0.069302,              0.0003019,              0.0003019,             1.6894e+09,                    112
                     32,                0.72191,                0.62073,                 1.0223,                0.93972,                      1,                0.99262,                0.74162,                0.96796,                 1.3228,                 1.2442,               0.068311,              0.0003111,              0.0003111,             1.6894e+09,                    114
                     33,                0.78369,                0.61939,                 1.0082,                0.87153,                      1,                0.96915,                0.70174,                 1.0393,                 1.2308,                 1.2566,                0.06732,             0.00032025,             0.00032025,             1.6894e+09,                    116
                     34,                0.71953,                0.57843,                0.99158,                0.80845,                      1,                0.93503,                0.63719,                 1.1172,                 1.1519,                 1.3013,               0.066329,             0.00032934,             0.00032934,             1.6894e+09,                    117
                     35,                0.71911,                0.60195,                0.97443,                0.80845,                      1,                0.93503,                0.63719,                 1.1172,                 1.1519,                 1.3013,               0.065338,             0.00033838,             0.00033838,             1.6894e+09,                    119
                     36,                0.68959,                0.55661,                 1.0342,                0.81608,                      1,                0.94191,                0.65562,                 1.0263,                 1.0938,                 1.2951,               0.064347,             0.00034736,             0.00034736,             1.6894e+09,                    121
                     37,                  0.653,                0.55828,                 1.0155,                0.81608,                      1,                0.94191,                0.65562,                 1.0263,                 1.0938,                 1.2951,               0.063356,             0.00035629,             0.00035629,             1.6894e+09,                    122
                     38,                0.74197,                0.57692,                 1.1244,                0.82526,                      1,                0.92774,                0.69421,                 1.0292,                  1.094,                 1.2765,               0.062365,             0.00036516,             0.00036516,             1.6894e+09,                    124
                     39,                0.76523,                0.57151,                 1.0303,                0.82526,                      1,                0.92774,                0.69421,                 1.0292,                  1.094,                 1.2765,               0.061374,             0.00037396,             0.00037396,             1.6894e+09,                    126
                     40,                0.74337,                0.58953,                0.99021,                0.97803,                      1,                  0.995,                0.80263,                0.91402,                 1.0194,                 1.2487,               0.060383,             0.00038271,             0.00038271,             1.6894e+09,                    127
                     41,                 0.6851,                0.57791,                 1.0203,                0.97803,                      1,                  0.995,                0.80263,                0.91402,                 1.0194,                 1.2487,               0.059391,              0.0003914,              0.0003914,             1.6894e+09,                    129
                     42,                 0.6589,                0.55183,                0.99165,                0.97426,                      1,                  0.995,                0.73632,                0.98843,                 1.0581,                 1.3147,                 0.0584,             0.00040002,             0.00040002,             1.6894e+09,                    131
                     43,                0.58374,                0.53029,                0.93627,                0.97426,                      1,                  0.995,                0.73632,                0.98843,                 1.0581,                 1.3147,               0.057409,             0.00040857,             0.00040857,             1.6894e+09,                    132
                     44,                0.67136,                0.52183,                 1.0396,                0.97439,                      1,                  0.995,                0.80015,                0.98769,                 1.0581,                 1.3419,               0.056417,             0.00041706,             0.00041706,             1.6894e+09,                    134
                     45,                0.68136,                0.51474,                0.95359,                0.97439,                      1,                  0.995,                0.80015,                0.98769,                 1.0581,                 1.3419,               0.055425,             0.00042548,             0.00042548,             1.6894e+09,                    136
                     46,                0.71375,                 0.5583,                 1.0486,                0.98261,                      1,                  0.995,                0.83363,                0.91506,                0.96005,                 1.3097,               0.054434,             0.00043383,             0.00043383,             1.6894e+09,                    137
                     47,                0.61624,                0.51803,                 1.0093,                0.98261,                      1,                  0.995,                0.83363,                0.91506,                0.96005,                 1.3097,               0.053442,             0.00044211,             0.00044211,             1.6894e+09,                    140
                     48,                0.69069,                0.58837,                0.98835,                0.98978,                      1,                  0.995,                0.83718,                0.88596,                0.82111,                 1.3306,                0.05245,             0.00045032,             0.00045032,             1.6894e+09,                    142
                     49,                0.58592,                 0.5155,                 1.0152,                0.98978,                      1,                  0.995,                0.83718,                0.88596,                0.82111,                 1.3306,               0.051458,             0.00045845,             0.00045845,             1.6894e+09,                    145
                     50,                0.61781,                0.54128,                0.99214,                0.99296,                      1,                  0.995,                0.82323,                0.89817,                 0.7581,                 1.3911,               0.050467,             0.00046651,             0.00046651,             1.6894e+09,                    147
                     51,                 0.6362,                0.52666,                 1.0525,                0.99296,                      1,                  0.995,                0.82323,                0.89817,                 0.7581,                 1.3911,               0.049474,             0.00047449,             0.00047449,             1.6894e+09,                    149
                     52,                0.67958,                0.56892,                  1.019,                0.99353,                      1,                  0.995,                0.81187,                0.92509,                0.71941,                 1.4285,               0.048482,              0.0004824,              0.0004824,             1.6894e+09,                    151
                     53,                0.67224,                0.52532,                 1.0643,                0.99353,                      1,                  0.995,                0.81187,                0.92509,                0.71941,                 1.4285,                0.04749,             0.00049023,             0.00049023,             1.6894e+09,                    152
                     54,                0.61823,                0.52006,                 1.0263,                0.99459,                      1,                  0.995,                0.82314,                0.86503,                0.64496,                 1.3762,               0.046498,             0.00049797,             0.00049797,             1.6894e+09,                    154
                     55,                0.63117,                0.53875,                 1.0253,                0.99459,                      1,                  0.995,                0.82314,                0.86503,                0.64496,                 1.3762,               0.045506,             0.00050564,             0.00050564,             1.6894e+09,                    156
                     56,                0.67058,                0.50286,                 1.0136,                0.99477,                      1,                  0.995,                0.83481,                0.84734,                0.60821,                 1.3008,               0.044513,             0.00051322,             0.00051322,             1.6894e+09,                    157
                     57,                 0.5787,                0.48028,                0.94687,                0.99477,                      1,                  0.995,                0.83481,                0.84734,                0.60821,                 1.3008,               0.043521,             0.00052072,             0.00052072,             1.6894e+09,                    159
                     58,                0.64032,                0.51643,                0.97455,                0.99549,                      1,                  0.995,                0.84123,                0.83895,                0.59832,                 1.2909,               0.042528,             0.00052814,             0.00052814,             1.6894e+09,                    161
                     59,                0.68329,                0.57268,                 1.0572,                0.99549,                      1,                  0.995,                0.84123,                0.83895,                0.59832,                 1.2909,               0.041535,             0.00053547,             0.00053547,             1.6894e+09,                    163
                     60,                0.66492,                0.50362,                 1.0212,                0.99412,                      1,                  0.995,                0.85208,                0.79763,                 0.6015,                 1.3302,               0.040543,             0.00054271,             0.00054271,             1.6894e+09,                    165
                     61,                 0.5926,                0.56238,                 1.0673,                0.99412,                      1,                  0.995,                0.85208,                0.79763,                 0.6015,                 1.3302,                0.03955,             0.00054987,             0.00054987,             1.6894e+09,                    167
                     62,                0.53888,                0.45889,                0.94894,                0.98896,                      1,                  0.995,                0.83199,                0.75648,                0.58993,                 1.3685,               0.038557,             0.00055693,             0.00055693,             1.6894e+09,                    170
                     63,                0.55087,                0.45791,                 1.0329,                0.98896,                      1,                  0.995,                0.83199,                0.75648,                0.58993,                 1.3685,               0.037564,             0.00056391,             0.00056391,             1.6894e+09,                    171
                     64,                0.56096,                0.46138,                0.99044,                0.98168,                      1,                  0.995,                0.79078,                0.72261,                0.64514,                 1.3671,               0.036571,             0.00057079,             0.00057079,             1.6894e+09,                    173
                     65,                 0.6333,                0.48814,                 1.0288,                0.98168,                      1,                  0.995,                0.79078,                0.72261,                0.64514,                 1.3671,               0.035578,             0.00057758,             0.00057758,             1.6894e+09,                    175
                     66,                0.59418,                 0.4894,                 1.0177,                0.98176,                      1,                  0.995,                 0.8622,                0.64885,                0.73776,                 1.2028,               0.034584,             0.00058428,             0.00058428,             1.6894e+09,                    177
                     67,                 0.5845,                0.46483,                0.93641,                0.98176,                      1,                  0.995,                 0.8622,                0.64885,                0.73776,                 1.2028,               0.033591,             0.00059088,             0.00059088,             1.6894e+09,                    179
                     68,                0.60203,                0.48141,                0.96009,                0.98611,                      1,                  0.995,                0.87864,                0.64528,                0.71616,                 1.1588,               0.032597,             0.00059739,             0.00059739,             1.6894e+09,                    182
                     69,                0.57371,                0.51234,                0.91087,                0.98611,                      1,                  0.995,                0.87864,                0.64528,                0.71616,                 1.1588,               0.031604,              0.0006038,              0.0006038,             1.6894e+09,                    184
                     70,                0.57187,                0.47263,                0.99315,                0.99206,                      1,                  0.995,                 0.9283,                0.63031,                0.57435,                 1.1727,                0.03061,             0.00061011,             0.00061011,             1.6894e+09,                    186
                     71,                0.64057,                0.47587,                0.96267,                0.99206,                      1,                  0.995,                 0.9283,                0.63031,                0.57435,                 1.1727,               0.029616,             0.00061632,             0.00061632,             1.6894e+09,                    188
                     72,                 0.5857,                0.47239,                0.95094,                0.99511,                      1,                  0.995,                0.90968,                0.64059,                0.51526,                 1.1974,               0.028622,             0.00062244,             0.00062244,             1.6894e+09,                    191
                     73,                0.61031,                0.46555,                0.99259,                0.99511,                      1,                  0.995,                0.90968,                0.64059,                0.51526,                 1.1974,               0.027628,             0.00062845,             0.00062845,             1.6894e+09,                    192
                     74,                0.76474,                0.49187,                0.88165,                0.99534,                      1,                  0.995,                0.90973,                0.65215,                 0.5372,                 1.2632,               0.026634,             0.00063437,             0.00063437,             1.6894e+09,                    194
                     75,                0.61548,                0.47622,                0.95939,                0.99534,                      1,                  0.995,                0.90973,                0.65215,                 0.5372,                 1.2632,                0.02564,             0.00064018,             0.00064018,             1.6894e+09,                    196
                     76,                0.58849,                0.45542,                 1.0049,                0.99649,                      1,                  0.995,                0.87478,                0.73237,                0.56351,                 1.3019,               0.024646,             0.00064588,             0.00064588,             1.6894e+09,                    197
                     77,                0.59705,                0.50084,                0.93033,                0.99649,                      1,                  0.995,                0.87478,                0.73237,                0.56351,                 1.3019,               0.023651,             0.00065149,             0.00065149,             1.6894e+09,                    199
                     78,                0.67286,                0.51172,                 1.0009,                0.99447,                      1,                  0.995,                0.78706,                0.84451,                 0.6819,                 1.2867,               0.022657,             0.00065699,             0.00065699,             1.6894e+09,                    201
                     79,                0.61255,                0.49967,                0.93481,                0.99447,                      1,                  0.995,                0.78706,                0.84451,                 0.6819,                 1.2867,               0.021662,             0.00066238,             0.00066238,             1.6894e+09,                    202
                     80,                0.53812,                0.45915,                0.91363,                  0.992,                      1,                  0.995,                0.75643,                0.83485,                0.75723,                 1.2764,               0.020668,             0.00066767,             0.00066767,             1.6894e+09,                    204
                     81,                0.58163,                 0.4527,                0.92327,                  0.992,                      1,                  0.995,                0.75643,                0.83485,                0.75723,                 1.2764,               0.019673,             0.00067285,             0.00067285,             1.6894e+09,                    206
                     82,                0.60406,                 0.4699,                0.92849,                0.99612,                      1,                  0.995,                 0.7723,                0.82852,                0.65818,                 1.2947,               0.018678,             0.00067792,             0.00067792,             1.6894e+09,                    208
                     83,                0.62953,                0.46273,                0.92215,                0.99612,                      1,                  0.995,                 0.7723,                0.82852,                0.65818,                 1.2947,               0.017683,             0.00068288,             0.00068288,             1.6894e+09,                    210
                     84,                0.69394,                0.47955,                  1.013,                0.99634,                      1,                  0.995,                 0.8826,                0.80683,                0.56277,                 1.2345,               0.016688,             0.00068773,             0.00068773,             1.6894e+09,                    211
                     85,                0.58036,                0.44578,                0.88413,                0.99634,                      1,                  0.995,                 0.8826,                0.80683,                0.56277,                 1.2345,               0.015692,             0.00069248,             0.00069248,             1.6894e+09,                    213
                     86,                0.63341,                0.50956,                0.97966,                0.99671,                      1,                  0.995,                0.87778,                0.82172,                0.57272,                 1.1958,               0.014697,             0.00069711,             0.00069711,             1.6894e+09,                    215
                     87,                0.56115,                0.45802,                0.90514,                0.99671,                      1,                  0.995,                0.87778,                0.82172,                0.57272,                 1.1958,               0.013702,             0.00070163,             0.00070163,             1.6894e+09,                    216
                     88,                0.66791,                0.49176,                 1.0127,                0.99604,                      1,                  0.995,                0.90386,                0.77292,                0.56568,                 1.1888,               0.012706,             0.00070604,             0.00070604,             1.6894e+09,                    218
                     89,                0.58881,                0.44074,                0.92273,                0.99604,                      1,                  0.995,                0.90386,                0.77292,                0.56568,                 1.1888,                0.01171,             0.00071034,             0.00071034,             1.6894e+09,                    220
                     90,                0.58596,                0.46066,                0.90086,                0.99629,                      1,                  0.995,                0.86898,                0.74655,                0.57104,                 1.2068,               0.010715,             0.00071452,             0.00071452,             1.6894e+09,                    221
                     91,                0.57546,                 0.4376,                0.94079,                0.99629,                      1,                  0.995,                0.86898,                0.74655,                0.57104,                 1.2068,              0.0097186,             0.00071859,             0.00071859,             1.6894e+09,                    223
                     92,                0.56333,                0.42964,                0.95186,                0.99642,                      1,                  0.995,                0.86484,                0.73504,                0.58065,                 1.2222,              0.0087225,             0.00072255,             0.00072255,             1.6894e+09,                    225
                     93,                0.65864,                0.47764,                 1.0047,                0.99642,                      1,                  0.995,                0.86484,                0.73504,                0.58065,                 1.2222,              0.0077264,             0.00072639,             0.00072639,             1.6894e+09,                    226
                     94,                0.59214,                0.45243,                0.98608,                0.99598,                      1,                  0.995,                0.87268,                0.72474,                 0.6067,                 1.2211,              0.0067301,             0.00073012,             0.00073012,             1.6894e+09,                    228
                     95,                0.63459,                0.47992,                 1.0612,                0.99598,                      1,                  0.995,                0.87268,                0.72474,                 0.6067,                 1.2211,              0.0057337,             0.00073373,             0.00073373,             1.6894e+09,                    230
                     96,                0.54731,                0.41274,                0.91712,                 0.9955,                      1,                  0.995,                0.87711,                 0.7114,                0.63434,                  1.235,              0.0047372,             0.00073722,             0.00073722,             1.6894e+09,                    231
                     97,                0.56769,                0.45559,                0.93496,                 0.9955,                      1,                  0.995,                0.87711,                 0.7114,                0.63434,                  1.235,              0.0037406,              0.0007406,              0.0007406,             1.6894e+09,                    233
                     98,                0.60793,                0.44076,                0.94365,                0.99556,                      1,                  0.995,                0.88675,                0.64403,                0.62235,                 1.2308,              0.0027439,             0.00074386,             0.00074386,             1.6894e+09,                    235
                     99,                0.54334,                0.43875,                0.96711,                0.99556,                      1,                  0.995,                0.88675,                0.64403,                0.62235,                 1.2308,               0.001747,               0.000747,               0.000747,             1.6894e+09,                    236
                    100,                0.71724,                 0.5187,                0.99697,                0.99637,                      1,                  0.995,                0.92284,                0.63542,                0.59397,                 1.1451,             0.00075002,             0.00075002,             0.00075002,             1.6894e+09,                    238
                    101,                0.57227,                0.42975,                0.98363,                0.99637,                      1,                  0.995,                0.92284,                0.63542,                0.59397,                 1.1451,             0.00075002,             0.00075002,             0.00075002,             1.6894e+09,                    240
                    102,                0.55622,                0.44876,                 0.9232,                0.99627,                      1,                  0.995,                 0.9132,                0.64164,                0.59765,                 1.0535,             0.00074548,             0.00074548,             0.00074548,             1.6894e+09,                    242
                    103,                0.52503,                0.44935,                0.95909,                0.99627,                      1,                  0.995,                 0.9132,                0.64164,                0.59765,                 1.0535,              0.0007409,              0.0007409,              0.0007409,             1.6894e+09,                    244
                    104,                0.50872,                0.40527,                0.92007,                0.99622,                      1,                  0.995,                0.89678,                0.66279,                0.58185,                 1.0415,              0.0007363,              0.0007363,              0.0007363,             1.6894e+09,                    246
                    105,                0.58397,                0.45778,                0.94983,                0.99622,                      1,                  0.995,                0.89678,                0.66279,                0.58185,                 1.0415,             0.00073167,             0.00073167,             0.00073167,             1.6894e+09,                    247
                    106,                0.59251,                0.47996,                 0.9456,                0.99617,                      1,                  0.995,                0.89498,                0.69669,                0.56963,                 1.0215,             0.00072702,             0.00072702,             0.00072702,             1.6894e+09,                    249
                    107,                0.51783,                0.42719,                0.96931,                0.99617,                      1,                  0.995,                0.89498,                0.69669,                0.56963,                 1.0215,             0.00072235,             0.00072235,             0.00072235,             1.6894e+09,                    251
                    108,                0.55566,                0.43316,                0.94929,                0.99613,                      1,                  0.995,                0.90585,                 0.6618,                0.54191,                0.99076,             0.00071764,             0.00071764,             0.00071764,             1.6894e+09,                    252
                    109,                0.51124,                0.43745,                0.96018,                0.99613,                      1,                  0.995,                0.90585,                 0.6618,                0.54191,                0.99076,             0.00071292,             0.00071292,             0.00071292,             1.6894e+09,                    254
                    110,                0.57121,                0.44011,                0.96892,                0.99592,                      1,                  0.995,                0.88011,                0.62433,                 0.5147,                0.97349,             0.00070817,             0.00070817,             0.00070817,             1.6894e+09,                    256
                    111,                0.57517,                0.44022,                0.97009,                0.99592,                      1,                  0.995,                0.88011,                0.62433,                 0.5147,                0.97349,              0.0007034,              0.0007034,              0.0007034,             1.6894e+09,                    257
                    112,                0.52135,                0.42871,                0.96479,                0.99581,                      1,                  0.995,                0.90049,                 0.5551,                0.50254,                0.97433,              0.0006986,              0.0006986,              0.0006986,             1.6894e+09,                    259
                    113,                0.55282,                0.43334,                0.96433,                0.99581,                      1,                  0.995,                0.90049,                 0.5551,                0.50254,                0.97433,             0.00069379,             0.00069379,             0.00069379,             1.6894e+09,                    260
                    114,                0.53449,                0.41552,                0.94447,                0.99568,                      1,                  0.995,                 0.9273,                0.54008,                0.49708,                0.95816,             0.00068895,             0.00068895,             0.00068895,             1.6894e+09,                    262
                    115,                0.55259,                0.41302,                0.95424,                0.99568,                      1,                  0.995,                 0.9273,                0.54008,                0.49708,                0.95816,             0.00068409,             0.00068409,             0.00068409,             1.6894e+09,                    264
                    116,                0.60633,                0.42906,                  0.936,                0.99621,                      1,                  0.995,                0.91963,                0.54931,                0.51965,                0.94456,             0.00067922,             0.00067922,             0.00067922,             1.6894e+09,                    265
                    117,                0.52062,                 0.4255,                0.85489,                0.99621,                      1,                  0.995,                0.91963,                0.54931,                0.51965,                0.94456,             0.00067432,             0.00067432,             0.00067432,             1.6894e+09,                    267
                    118,                0.50537,                0.41947,                0.86987,                0.99659,                      1,                  0.995,                0.92158,                0.53983,                 0.5109,                0.92409,              0.0006694,              0.0006694,              0.0006694,             1.6894e+09,                    269
                    119,                0.53268,                0.44946,                0.92058,                0.99659,                      1,                  0.995,                0.92158,                0.53983,                 0.5109,                0.92409,             0.00066447,             0.00066447,             0.00066447,             1.6894e+09,                    270
                    120,                0.57502,                0.43754,                0.94006,                0.99674,                      1,                  0.995,                0.92484,                0.54218,                0.50267,                0.90731,             0.00065951,             0.00065951,             0.00065951,             1.6894e+09,                    273
                    121,                0.49834,                0.39717,                0.98641,                0.99674,                      1,                  0.995,                0.92484,                0.54218,                0.50267,                0.90731,             0.00065454,             0.00065454,             0.00065454,             1.6894e+09,                    275
